url,codi_error,pagina_origen
http://httpstat.us/496,496,http://httpstat.us
http://httpstat.us/449,449,http://httpstat.us
http://httpstat.us/406,406,http://httpstat.us
http://httpstat.us/426,426,http://httpstat.us
